event_id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
4179,2012-02-01,1328047200,13.0,8.3,11.0,13.0,7.1,10.8,6.9,76.11,54.31,,16.67,,,,,24.1,172.4,1010.4,87.2,7.8,,,0.0,06:35:25,1328070925,17:06:40,1328108800,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['40100099999', 'OLBA', '40066099999', '40101099999', '40103099999']"
1088,2009-08-16,1250361000,27.7,25.2,26.4,34.3,25.2,29.8,26.4,100.0,40.0,,100.0,,,,,9.4,60.0,1005.9,95.0,3.0,,,0.0,05:08:44,1250379524,18:13:12,1250426592,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,['42398099999']
1166,2009-09-15,1252947600,33.2,24.1,28.4,35.8,24.1,30.1,21.4,67.22,0.0,,0.0,,,,,23.5,120.5,1010.5,23.3,9.3,,,0.0,05:22:39,1252966959,17:26:17,1253010377,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['96933099999', '96935099999', '96935599999']"
2933,2011-01-05,1294214400,6.0,2.0,4.1,5.4,-0.5,2.2,4.3,99.89,24.31,,87.5,,,,,14.9,45.0,1020.8,0.0,,,,0.0,08:05:33,1294243533,16:33:52,1294274032,0.01,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"['CWPF', '71783099999', 'CWYJ', 'CWLM', '71798099999', 'CWKH']"
8866,2015-10-25,1445711400,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,06:41:06,1445735466,17:45:04,1445775304,0.47,,,,
7709,2016-05-12,1463025600,26.2,16.6,20.1,26.2,16.6,20.1,16.7,82.58,7.19,,25.0,,0.0,0.0,37.1,8.5,223.5,1016.9,24.6,15.4,,,0.0,06:23:23,1463048603,20:30:59,1463099459,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KLNP', 'KJKL', '72419003889', 'KPBX', '72411763802', '72046499999']"
7079,2015-07-01,1435672800,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,06:33:18,1435696398,18:20:33,1435738833,0.5,,,,
8352,2014-03-05,1394006400,14.0,10.4,12.6,14.0,10.4,12.6,11.4,92.26,30.19,,87.5,,,,81.5,39.2,175.5,1003.7,97.9,9.8,,,0.0,06:46:29,1394030789,18:08:14,1394071694,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['KAST', 'KMMV', '72791094224', '72688194273']"
6305,2014-10-21,1413874800,13.2,10.3,11.4,13.2,10.3,11.4,9.9,90.91,54.92,,91.67,,,,70.2,29.2,125.8,1005.9,0.0,1004.9,,,0.0,07:49:20,1413902960,18:17:38,1413940658,0.98,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"['CWGB', '71772099999', 'CWEL', '71475099999', '71766099999']"
6731,2015-01-21,1421823600,-5.0,-17.8,-11.3,-6.6,-20.7,-12.8,-14.5,78.19,0.0,,0.0,,0.0,86.65,,7.6,44.2,1033.6,0.0,15.9,,,0.0,08:18:12,1421853492,17:38:32,1421887112,0.01,Clear,Clear conditions throughout the day.,clear-day,"['KMYL', '72586494182']"
10972,2016-12-15,1481740200,27.0,12.5,20.5,27.3,12.5,20.5,15.0,73.52,0.0,,0.0,,,,,14.8,79.1,1014.8,13.2,2.5,,,0.0,06:02:44,1481761964,16:33:13,1481799793,0.52,Clear,Clear conditions throughout the day.,clear-day,"['42410099999', 'VEGT', '42414099999', '42408099999', '42516099999', '42409099999', '42512099999']"
5712,2013-12-22,1387670400,6.4,4.3,5.2,1.4,-1.9,-0.6,1.9,79.41,8.71,,16.67,,,,74.8,45.2,243.8,999.2,41.8,20.7,,,0.0,08:35:31,1387701331,15:50:24,1387727424,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['03212099999', '03225099999', '03153099999', '03210099999', '03220099999', '03226099999']"
7061,2015-05-12,1431368100,28.0,16.0,21.4,28.0,16.0,21.4,15.8,73.5,17.0,,4.76,,,,33.5,13.0,156.5,,52.5,7.6,,,0.0,05:14:37,1431386977,18:42:40,1431435460,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['44454099999', 'VNKT']"
